Name,ID,Category,Network,Nation,Institution,GLAT,GLON,Start,End,Notes,Data Link
Nain,NAN,Magnetometers,MACCS,USA,Augsburg College,56.4,298.3,,,,http://space.augsburg.edu/maccs/availability.html#nan
Pangnirtung,PGG,Magnetometers,MACCS,USA,Augsburg College,66.1,294.2,,,,http://space.augsburg.edu/maccs/availability.html#pgg
Clyde River,CRV,Magnetometers,MACCS,USA,Augsburg College,70.5,291.4,,,,http://space.augsburg.edu/maccs/availability.html#crv
Iqaluit,IQA,Magnetometers,MACCS,Canada,Augsburg College,63.8,291.5,,,,
Cape Dorset,CDR,Magnetometers,MACCS,USA,Augsburg College,64.2,283.4,,,,http://space.augsburg.edu/maccs/availability.html#cdr
Igloolik,IGL,Magnetometers,MACCS,USA,Augsburg College,69.3,278.2,,,,http://space.augsburg.edu/maccs/availability.html#igl
Coral Harbour,CHB,Magnetometers,MACCS,USA,Augsburg College,64,276.7,,,,http://space.augsburg.edu/maccs/availability.html#chb
Repulse Bay,RBY,Magnetometers,MACCS,USA,Augsburg College,66.5,273.8,,,,http://space.augsburg.edu/maccs/availability.html#rby
Baker Lake,BLC,Magnetometers,MACCS,Canada,Augsburg College,64.3,264,,,,
Gjoa Haven,GJO,Magnetometers,MACCS,USA,Augsburg College,68.6,264.1,,,,http://space.augsburg.edu/maccs/availability.html#gjo
Resolute Bay,RES,Magnetometers,MACCS,Canada,Augsburg College,74.7,265,,,,
Cambridge Bay,CBB,Magnetometers,MACCS,Canada,Augsburg College,69.1,255,,,,
"Inuvik, NT",INUK,Magnetometers,AUTUMNX,Canada,Athabasca University,68.41,−133.76,,,,
"Whitehorse, YT",,Magnetometers,AUTUMNX,Canada,Athabasca University,60.77,−135.09,,,,
"Fort St John, BC",,Magnetometers,AUTUMNX,Canada,Athabasca University,56.24,−120.74,,,,
"La Ronge, SK",,Magnetometers,AUTUMNX,Canada,Athabasca University,55.15,−105.26,,,,
"Meanook, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,54.61,−113.34,,,,
"Athabasca, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,54.6,−113.64,,,,
"Saskatoon, SK",,Magnetometers,AUTUMNX,Canada,Athabasca University,52.16,−106.53,,,,
"Red Deer, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,52.14,−113.83,,,,
"Calgary, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,50.88,−114.33,,,,
"Lethbridge, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,49.63,−112.86,,,,
