Name,ID,Category,Network,Nation,Institution,GLAT,GLON,Start,End,Notes,Data Link,Source,Instrument id (kinst),Altitude (km),Principal Investigator,PI Email,AACGMLON,AACGMLAT,OPERATOR-NUM,OP2,OP3,Unnamed: 10,Unnamed: 11,Record ID#,Official Name,Operator (additional),Seasonality,Status,Year Established,Antarctic Region,Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified,Hemisphere,PLAT,PLON
Nain,NAN,Magnetometers,MACCS,USA,Augsburg College,56.4,298.3,,,,http://space.augsburg.edu/maccs/availability.html#nan,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,56.4,-61.69999999999999
Pangnirtung,PGG,Magnetometers,MACCS,USA,Augsburg College,66.1,294.2,,,,http://space.augsburg.edu/maccs/availability.html#pgg,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,66.1,-65.80000000000001
Clyde River,CRV,Magnetometers,MACCS,USA,Augsburg College,70.5,291.4,,,,http://space.augsburg.edu/maccs/availability.html#crv,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,70.5,-68.60000000000002
Iqaluit,IQA,Magnetometers,MACCS,Canada,Augsburg College,63.8,291.5,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,63.75,-68.51999999999998
Cape Dorset,CDR,Magnetometers,MACCS,USA,Augsburg College,64.2,283.4,,,,http://space.augsburg.edu/maccs/availability.html#cdr,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,64.2,-76.60000000000002
Igloolik,IGL,Magnetometers,MACCS,USA,Augsburg College,69.3,278.2,,,,http://space.augsburg.edu/maccs/availability.html#igl,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,69.3,-81.80000000000001
Coral Harbour,CHB,Magnetometers,MACCS,USA,Augsburg College,64.0,276.7,,,,http://space.augsburg.edu/maccs/availability.html#chb,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,64.35,-84.0
Repulse Bay,RBY,Magnetometers,MACCS,USA,Augsburg College,66.5,273.8,,,,http://space.augsburg.edu/maccs/availability.html#rby,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,66.52,-86.23000000000002
Baker Lake,BLC,Magnetometers,MACCS,Canada,Augsburg College,64.3,264,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,64.32,-96.00999999999999
Gjoa Haven,GJO,Magnetometers,MACCS,USA,Augsburg College,68.6,264.1,,,,http://space.augsburg.edu/maccs/availability.html#gjo,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,68.63,-95.85000000000002
