Name,ID,Category,Network,Nation,Institution,GLAT,GLON,Start,End,Notes,Data Link,Source,Instrument id (kinst),Altitude (km),Principal Investigator,PI Email,AACGMLON,AACGMLAT,OPERATOR-NUM,OP2,OP3,Unnamed: 10,Unnamed: 11,Record ID#,Official Name,Operator (additional),Seasonality,Status,Year Established,Antarctic Region,Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified,Hemisphere,PLAT,PLON
Nain,NAN,Magnetometers,MACCS,USA,Augsburg College,56.4,298.3,,,,http://space.augsburg.edu/maccs/availability.html#nan,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-76.52117291596113,-43.26032704596611
Pangnirtung,PGG,Magnetometers,MACCS,USA,Augsburg College,66.1,294.2,,,,http://space.augsburg.edu/maccs/availability.html#pgg,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-87.97269277907552,-51.14160166434998
Clyde River,CRV,Magnetometers,MACCS,USA,Augsburg College,70.5,291.4,,,,http://space.augsburg.edu/maccs/availability.html#crv,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-87.31618557536136,136.34707475435843
Iqaluit,IQA,Magnetometers,MACCS,Canada,Augsburg College,63.8,291.5,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-85.79725838338712,-72.80202045717128
Cape Dorset,CDR,Magnetometers,MACCS,USA,Augsburg College,64.2,283.4,,,,http://space.augsburg.edu/maccs/availability.html#cdr,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-84.62017469988105,-122.15015090445972
Igloolik,IGL,Magnetometers,MACCS,USA,Augsburg College,69.3,278.2,,,,http://space.augsburg.edu/maccs/availability.html#igl,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-83.60656632560304,-177.56834112439856
Coral Harbour,CHB,Magnetometers,MACCS,USA,Augsburg College,64.0,276.7,,,,http://space.augsburg.edu/maccs/availability.html#chb,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-81.86325280953982,-142.78823591395226
Repulse Bay,RBY,Magnetometers,MACCS,USA,Augsburg College,66.5,273.8,,,,http://space.augsburg.edu/maccs/availability.html#rby,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-81.64792467836939,-158.989333477449
Baker Lake,BLC,Magnetometers,MACCS,Canada,Augsburg College,64.3,264,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-76.77808798567762,-157.64184337165642
Gjoa Haven,GJO,Magnetometers,MACCS,USA,Augsburg College,68.6,264.1,,,,http://space.augsburg.edu/maccs/availability.html#gjo,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-78.14342443885093,-174.89004718205055
Resolute Bay,RES,Magnetometers,MACCS,Canada,Augsburg College,74.7,265,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-78.13713765551124,158.04842220308856
Cambridge Bay,CBB,Magnetometers,MACCS,Canada,Augsburg College,69.1,255,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-74.80162939234883,-179.3596600006703
"Inuvik, NT",INUK,Magnetometers,AUTUMNX,Canada,Athabasca University,68.41,−133.76,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-64.87210609612407,172.52304747861336
"Whitehorse, YT",,Magnetometers,AUTUMNX,Canada,Athabasca University,60.77,−135.09,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-59.31021268982952,-176.30530255816083
"Fort St John, BC",,Magnetometers,AUTUMNX,Canada,Athabasca University,56.24,−120.74,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-61.43550843421955,-160.83087737694552
"La Ronge, SK",,Magnetometers,AUTUMNX,Canada,Athabasca University,55.15,−105.26,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-67.24186297748611,-145.1812415398655
"Meanook, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,54.61,−113.34,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-63.33820185087101,-152.41898467140962
"Athabasca, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,54.6,−113.64,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-63.20196228398375,-152.676419794245
"Saskatoon, SK",,Magnetometers,AUTUMNX,Canada,Athabasca University,52.16,−106.53,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-64.43534888030099,-142.11000660071457
"Red Deer, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,52.14,−113.83,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-61.24401368345901,-149.55823178629265
"Calgary, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,50.88,−114.33,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-60.03654083454892,-148.47550586815998
"Lethbridge, AB",,Magnetometers,AUTUMNX,Canada,Athabasca University,49.63,−112.86,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-59.670850043490844,-145.5761781347625
Mt Johns,MTJN,GNSS,UKANET,UK,,-79.627,-91.281,,,,https://ukanet.wixsite.com/ukanet/gnss,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-79.627,-91.281
Mt Woollard,WLRD,GNSS,UKANET,UK,,-80.544,-96.638,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.544,-96.638
Lyon Nunatak,LNTK,GNSS,UKANET,UK,,-74.835,-73.903,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-74.835,-73.903
Fossil Bluff,FOS1,GNSS,UKANET,UK,,-71.313,-68.321,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-71.323412,-68.289064
Traverse Mountains,TRVE,GNSS,UKANET,UK,,-69.989,-67.555,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-69.989,-67.555
Welch Mountains,WLCH,GNSS,UKANET,UK,,-70.729,-63.820,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-70.729,-63.82
Jensen Nunatak,JNSN,GNSS,UKANET,UK,,-73.077,-66.102,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-73.077,-66.102
Bean Peaks,BEAN,GNSS,UKANET,UK,,-75.956,-69.302,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-75.956,-69.302
Gomez Nunatak,GMEZ,GNSS,UKANET,UK,,-73.885,-68.537,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-73.885,-68.537
Hutton Mountains,HTON,GNSS,UKANET,UK,,-74.08,-61.731,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-74.08,-61.731
Horseshoe Island,BSA1,GNSS,UKANET,UK,,-67.816,-67.291,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-67.816,-67.291
Cornish Island,BSA2,GNSS,UKANET,UK,,-66.984,-67.474,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.984,-67.474
Cape Disappointment,SGP1,GNSS,UKANET,UK,,-65.557,-61.722,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-65.557,-61.722
Kidd Islands,SGP2,GNSS,UKANET,UK,,-66.455,-65.981,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.455,-65.981
Upper Leppard/Mount Ivins,SGP3,GNSS,UKANET,UK,,-65.941,-63.588,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-65.941,-63.588
Cape Alexander,SGP4,GNSS,UKANET,UK,,-66.686,-62.460,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.686,-62.46
Marmelon Point,SGP5,GNSS,UKANET,UK,,-67.282,-64.891,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-67.282,-64.891
Majak Nunatak,MAJK,GNSS,UKANET,UK,,-81.661,-21.874,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.661,-21.874
Mt Skidmore (orig Mt Provender),PROV,GNSS,UKANET,UK,,-80.321,-28.887,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.321,-28.887
Theron Mountains,THRO,GNSS,UKANET,UK,,-79.126,-28.318,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-79.126,-28.318
Pioneer Escarpment,PESC,GNSS,UKANET,UK,,-80.377,-22.001,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.377,-22.001
Brenneke Nunatak,BREN,GNSS,UKANET,UK,,-72.673,-63.026,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-72.673,-63.026
